Year-month;Works qnty
Unexisting date!;1
2020-05-30 00:00:00;19
2020-05-12 00:00:00;102
2020-05-11 00:00:00;10
2020-05-10 00:00:00;27
2020-05-09 00:00:00;10
2020-05-08 00:00:00;39
2020-05-07 00:00:00;47
2020-05-06 00:00:00;11
2020-05-05 00:00:00;43
2020-05-04 00:00:00;20
2020-05-03 00:00:00;21
2020-05-02 00:00:00;32
2020-05-01 00:00:00;47
2020-04-30 00:00:00;102
2020-04-29 00:00:00;5
2020-04-28 00:00:00;7
2020-04-27 00:00:00;42
2020-04-26 00:00:00;22
2020-04-25 00:00:00;8
2020-04-24 00:00:00;10
2020-04-23 00:00:00;12
2020-04-22 00:00:00;51
2020-04-21 00:00:00;12
2020-04-20 00:00:00;65
2020-04-19 00:00:00;11
2020-04-18 00:00:00;3
2020-04-17 00:00:00;4
2020-04-16 00:00:00;10
2020-04-15 00:00:00;20
2020-04-14 00:00:00;19
2020-04-13 00:00:00;7
2020-04-12 00:00:00;29
2020-04-11 00:00:00;11
2020-04-10 00:00:00;72
2020-04-09 00:00:00;7
2020-04-08 00:00:00;21
2020-04-07 00:00:00;14
2020-04-06 00:00:00;18
2020-04-05 00:00:00;15
2020-04-04 00:00:00;4
2020-04-03 00:00:00;19
2020-04-02 00:00:00;20
2020-04-01 00:00:00;66
2020-03-31 00:00:00;2
2020-03-30 00:00:00;10
2020-03-29 00:00:00;6
2020-03-28 00:00:00;2
2020-03-27 00:00:00;2
2020-03-26 00:00:00;1
2020-03-25 00:00:00;10
2020-03-24 00:00:00;3
2020-03-23 00:00:00;5
2020-03-22 00:00:00;2
2020-03-21 00:00:00;1
2020-03-20 00:00:00;5
2020-03-19 00:00:00;1
2020-03-18 00:00:00;2
2020-03-17 00:00:00;2
2020-03-16 00:00:00;2
2020-03-15 00:00:00;7
2020-03-14 00:00:00;2
2020-03-13 00:00:00;10
2020-03-12 00:00:00;10
2020-03-11 00:00:00;18
2020-03-10 00:00:00;21
2020-03-09 00:00:00;6
2020-03-07 00:00:00;10
2020-03-06 00:00:00;16
2020-03-05 00:00:00;4
2020-03-04 00:00:00;23
2020-03-03 00:00:00;6
2020-03-01 00:00:00;2
2020-02-25 00:00:00;4
2020-02-23 00:00:00;2
2020-02-20 00:00:00;22
2020-02-19 00:00:00;1
2020-02-18 00:00:00;1
2020-02-17 00:00:00;5
2020-02-16 00:00:00;1
2020-02-15 00:00:00;11
2020-02-14 00:00:00;4
2020-02-13 00:00:00;6
2020-02-12 00:00:00;4
2020-02-11 00:00:00;4
2020-02-10 00:00:00;13
2020-02-09 00:00:00;1
2020-02-04 00:00:00;10
2020-02-03 00:00:00;2
2020-02-02 00:00:00;2
2020-02-01 00:00:00;7
2020-01-24 00:00:00;2
2020-01-23 00:00:00;3
2020-01-22 00:00:00;5
2020-01-21 00:00:00;1
2020-01-15 00:00:00;3
2020-01-10 00:00:00;21
2020-01-08 00:00:00;6
2020-01-07 00:00:00;1
2020-01-05 00:00:00;4
2019-12-29 00:00:00;1
2019-12-28 00:00:00;1
2019-12-27 00:00:00;1
2019-12-26 00:00:00;1
2019-12-20 00:00:00;1
2019-12-17 00:00:00;1
2019-12-15 00:00:00;7
2019-12-12 00:00:00;1
2019-12-11 00:00:00;1
2019-12-10 00:00:00;1
2019-12-05 00:00:00;1
2019-11-29 00:00:00;1
2019-11-20 00:00:00;5
2019-11-17 00:00:00;2
2019-11-16 00:00:00;1
2019-11-08 00:00:00;1
2019-11-03 00:00:00;1
2019-06-05 00:00:00;1
2019-06-04 00:00:00;2
2019-04-08 00:00:00;1
2019-03-10 00:00:00;1
2019-03-07 00:00:00;1
2018-06-12 00:00:00;1
2017-01-22 00:00:00;1
2017-01-16 00:00:00;1
2017-01-13 00:00:00;1
2002-05-08 00:00:00;7
