Year-month;Works qnty
2020-05-12 00:00:00;16
2020-05-10 00:00:00;4
2020-05-08 00:00:00;2
2020-05-05 00:00:00;14
2020-05-04 00:00:00;2
2020-05-01 00:00:00;22
2020-04-30 00:00:00;2
2020-04-28 00:00:00;28
2020-04-27 00:00:00;2
2020-04-22 00:00:00;1
2020-04-21 00:00:00;2
2020-04-20 00:00:00;6
2020-04-19 00:00:00;1
2020-04-18 00:00:00;7
2020-04-17 00:00:00;4
2020-04-16 00:00:00;1
2020-04-15 00:00:00;4
2020-04-14 00:00:00;1
2020-04-13 00:00:00;4
2020-04-11 00:00:00;2
2020-04-10 00:00:00;17
2020-04-06 00:00:00;6
2020-04-05 00:00:00;3
2020-04-04 00:00:00;1
2020-04-03 00:00:00;2
2020-03-30 00:00:00;1
2020-03-23 00:00:00;5
2020-03-15 00:00:00;5
2020-03-04 00:00:00;1
2020-03-01 00:00:00;1
2020-02-20 00:00:00;1
2020-02-17 00:00:00;1
2020-02-10 00:00:00;1
2019-04-03 00:00:00;1
2018-05-26 00:00:00;1
2018-02-12 00:00:00;1
