Year-month;Works qnty;Avrg each day in month;Avrg daily
Unexist;2;2.0;2.0
2020-06;1;0.03;1.0
2020-05;670;21.61;51.54
2020-04;901;30.03;30.03
2020-03;243;7.84;7.84
2020-02;119;4.1;5.95
2020-01;63;2.03;3.71
2019-12;32;1.03;1.6
2019-11;23;0.77;1.92
2019-10;1;0.03;1.0
2019-09;3;0.1;1.0
2019-08;3;0.1;1.0
2019-06;3;0.1;1.5
2019-05;1;0.03;1.0
2019-04;2;0.07;1.0
2019-03;2;0.06;1.0
2018-06;1;0.03;1.0
2018-05;1;0.03;1.0
2018-04;1;0.03;1.0
2018-02;2;0.07;1.0
2017-12;5;0.16;1.25
2017-09;1;0.03;1.0
2017-06;3;0.1;1.0
2017-01;3;0.1;1.0
2015-05;1;0.03;1.0
2002-05;7;0.23;7.0
